RMNYStat-ID,RMNYStat-CopyID,RMNYStat-Copy-Jel,RMNYStat-Copy-Sorszám,RMNYStat-PéldányLeírás-Típus,RMNYStat-Példány-Típus,RMNYStat-C-Lelőhely,RMNYStat-C-Gyűjtemény,RMNYStat-C-Teljesség,RMNYStat-C-Címlap,RMNYStat-C-Variáns,RMNYStat-C-Prov,RMNY-C-Megjegyzés,RMNYStat-C-Megjegyzés,RMNY-C-Megjegyzés2,
RMNY29,RMNY-C105,RMNY-C,105,egyedi,eredeti,Tîrgu Mureş,,3,,,,,,,
RMNY30,RMNY-C106,RMNY-C,106,egyedi,eredeti,Alba Iulia,,1,,,,,,,
RMNY30,RMNY-C107,RMNY-C,107,egyedi,eredeti,Braşov,Arch,1,,,,,,,
RMNY30,RMNY-C108,RMNY-C,108,egyedi,eredeti,Braşov,Ev,1,,,,,,,
RMNY30,RMNY-C109,RMNY-C,109,egyedi,eredeti,Braşov,Ev,1,,,,,,,
RMNY30,RMNY-C110,RMNY-C,110,egyedi,eredeti,Braşov,Ev,1,,,,,,,
RMNY30,RMNY-C111,RMNY-C,111,egyedi,eredeti,Budapest,Acad,1,,,,,,,
RMNY30,RMNY-C112,RMNY-C,112,egyedi,eredeti,Budapest,Acad,1,,,,,,,
RMNY30,RMNY-C113,RMNY-C,113,egyedi,eredeti,Budapest,Nat,2,*,,,,,,
RMNY30,RMNY-C114,RMNY-C,114,egyedi,eredeti,Budapest,Nat,2,,,,,,,
RMNY30,RMNY-C115,RMNY-C,115,egyedi,eredeti,Budapest,Univ,1,,,,,,,
RMNY30,RMNY-C116,RMNY-C,116,egyedi,eredeti,Cluj,Univ,1,,,,,,,
RMNY30,RMNY-C117,RMNY-C,117,egyedi,eredeti,Sibiu,Mus,1,,,,,,,
RMNY30,RMNY-C118,RMNY-C,118,egyedi,eredeti,Tîrgu Mureş,,2,,,,,,,
RMNY31,RMNY-C119,RMNY-C,119,egyedi,eredeti,Braşov,Ev,4,*,,,,,,
RMNY31,RMNY-C120,RMNY-C,120,egyedi,eredeti,Budapest,Nat,1,,,,,,,
RMNY31,RMNY-C121,RMNY-C,121,egyedi,eredeti,Mediaş,Ev,1,,,,,,,
RMNY32,RMNY-C122,RMNY-C,122,,,,,n.p.,,,,,,,
RMNY33,RMNY-C123,RMNY-C,123,,,,,n.p.,,,,,,,
RMNY34,RMNY-C124,RMNY-C,124,egyedi,eredeti,Braşov,Ev,1,,,,,,,
RMNY34,RMNY-C125,RMNY-C,125,egyedi,eredeti,Braşov,Ev,1,,,,,,,
RMNY34,RMNY-C126,RMNY-C,126,egyedi,phot.,Budapest,Nat,phot.,,,,,,,
RMNY35,RMNY-C127,RMNY-C,127,egyedi,eredeti,Braşov,Arch,2,*,,,,,,
RMNY35,RMNY-C128,RMNY-C,128,egyedi,eredeti,Braşov,Ev,1,,,,,,,
RMNY35,RMNY-C129,RMNY-C,129,egyedi,eredeti,Braşov,Ev,1,,,,,,,
RMNY35,RMNY-C130,RMNY-C,130,egyedi,eredeti,Braşov,Ev,1,,,,,,,
RMNY35,RMNY-C131,RMNY-C,131,egyedi,eredeti,Budapest,Acad,1,,,,,,,
RMNY35,RMNY-C132,RMNY-C,132,egyedi,eredeti,Budapest,Nat,1,,,,,,,
RMNY35,RMNY-C133,RMNY-C,133,egyedi,eredeti,Budapest,Nat,2,,,,,,,
RMNY35,RMNY-C134,RMNY-C,134,egyedi,eredeti,Budapest,Univ,1,,,,,,,
RMNY35,RMNY-C135,RMNY-C,135,egyedi,eredeti,Cluj,Univ,1,,,,,,,
RMNY35,RMNY-C136,RMNY-C,136,egyedi,eredeti,Sibiu,Mus,1,,,,,,,
RMNY35,RMNY-C137,RMNY-C,137,egyedi,eredeti,Tîrgu Mureş,,1,,,,,,,
RMNY35,RMNY-C138,RMNY-C,138,egyedi,eredeti,Tîrgu Mureş,,3,,,,,,,
RMNY36,RMNY-C139,RMNY-C,139,egyedi,eredeti,Budapest,Nat,1,,,,,,,
RMNY36,RMNY-C140,RMNY-C,140,egyedi,eredeti,Sibiu,Ev,1,,,"(Brassó, ev. gymn.)",,,,
RMNY37,RMNY-C141,RMNY-C,141,egyedi,eredeti,Braşov,Arch,1,,,,,,,
RMNY37,RMNY-C142,RMNY-C,142,egyedi,eredeti,Braşov,Ev,1,,,,,,,
RMNY37,RMNY-C143,RMNY-C,143,egyedi,eredeti,Budapest,Nat,1,,,,,,,
RMNY37,RMNY-C144,RMNY-C,144,egyedi,eredeti,Budapest,Nat,2,*,,,,,,
RMNY37,RMNY-C145,RMNY-C,145,egyedi,eredeti,Mediaş,Ev,1,,,,,,,
RMNY38,RMNY-C146,RMNY-C,146,egyedi,eredeti,Budapest,Nat,1,,,,,,,
RMNY38,RMNY-C147,RMNY-C,147,egyedi,eredeti,Mediaş,Ev,1,,,,,,,
RMNY39,RMNY-C148,RMNY-C,148,egyedi,eredeti,Budapest,Nat,0,*,,,,,,
RMNY40,RMNY-C149,RMNY-C,149,egyedi,eredeti,Braşov,Ev,1,,,,,,,
RMNY40,RMNY-C150,RMNY-C,150,egyedi,phot.,Budapest,Nat,phot.,,,(Braşov),,,,
RMNY41,RMNY-C151,RMNY-C,151,,,,,n.p.,,,,,,,
RMNY42,RMNY-C152,RMNY-C,152,egyedi,eredeti,Budapest,Acad,1,,,,,,,
RMNY42,RMNY-C153,RMNY-C,153,egyedi,eredeti,Budapest,Acad,1,,,,,,,
RMNY42,RMNY-C154,RMNY-C,154,egyedi,eredeti,Budapest,Nat,1,,,,,,,
RMNY42,RMNY-C155,RMNY-C,155,egyedi,eredeti,Budapest,Univ,1,,,,,,,
RMNY42,RMNY-C156,RMNY-C,156,egyedi,eredeti,Budapest,Univ,2,,,,,,,
RMNY42,RMNY-C157,RMNY-C,157,egyedi,eredeti,London,BM,2,*,,,,,,
RMNY42,RMNY-C158,RMNY-C,158,egyedi,eredeti,München,Nat,1,,,,,,,
RMNY42,RMNY-C159,RMNY-C,159,egyedi,eredeti,Paris,Nat,0,,,,,,,
RMNY43,RMNY-C160,RMNY-C,160,egyedi,phot.,Budapest,Nat,phot.,,,"(Braşov, Sibiu)",,,,
RMNY43,RMNY-C161,RMNY-C,161,egyedi,eredeti,Braşov,Ev,1,,,,,,,
RMNY43,RMNY-C162,RMNY-C,162,egyedi,eredeti,Braşov,Ev,1,,,,,,,
RMNY43,RMNY-C163,RMNY-C,163,egyedi,eredeti,Leningrad,Nat,1,,,,,,,
RMNY43,RMNY-C164,RMNY-C,164,egyedi,eredeti,Sibiu Mus,,1,,,,,,,
RMNY44,RMNY-C165,RMNY-C,165,egyedi,eredeti,Braşov,Ev,1,,,,,,,
RMNY44,RMNY-C166,RMNY-C,166,egyedi,phot.,Budapest,Nat,phot.,,,"(Braşov, Tîrgu Mureş)",,,,
RMNY44,RMNY-C167,RMNY-C,167,egyedi,eredeti,Kraków,Univ,1,,,,,,,
RMNY44,RMNY-C168,RMNY-C,168,egyedi,eredeti,Tîrgu Mureş,,1,,,,,,,
RMNY45,RMNY-C169,RMNY-C,169,egyedi,phot.,Budapest,Nat,phot.,,,,,,,
RMNY45,RMNY-C170,RMNY-C,170,egyedi,eredeti,Sighişoara,,1,,,,,,,
RMNY46,RMNY-C171,RMNY-C,171,egyedi,eredeti,Braşov,Ev,1,,,,,,,
RMNY46,RMNY-C172,RMNY-C,172,egyedi,phot.,Budapest,Nat,phot.,,,(Braşov),,,,
RMNY46,RMNY-C173,RMNY-C,173,egyedi,eredeti,Iaşi,Civ,2,*,,,,,,
RMNY47,RMNY-C174,RMNY-C,174,,,,,n.p.,,,,,,,
RMNY48,RMNY-C175,RMNY-C,175,,,,,n.p.,,,,,,,
RMNY49A,RMNY-C176,RMNY-C,176,egyedi,phot.,Budapest,Nat,phot.,,,,,,,
RMNY49A,RMNY-C177,RMNY-C,177,egyedi,eredeti,Iaşi,Civ,2,,,,,,,
RMNY49,RMNY-C178,RMNY-C,178,egyedi,eredeti,Alba Iulia,,2,,,,,,,
RMNY49,RMNY-C179,RMNY-C,179,egyedi,eredeti,Budapest,Acad,2,,(A-var.),,,,,
RMNY49,RMNY-C180,RMNY-C,180,egyedi,eredeti,Budapest,Acad,3,,(A-var.),,,,,
RMNY49,RMNY-C181,RMNY-C,181,egyedi,eredeti,Budapest,Acad,4,,,,,,,
RMNY49,RMNY-C182,RMNY-C,182,egyedi,eredeti,Budapest,Nat,2,,(A-var.),,,,,
RMNY49,RMNY-C183,RMNY-C,183,egyedi,eredeti,Budapest,Nat,2,,(B-var.),,,,,
RMNY49,RMNY-C184,RMNY-C,184,egyedi,eredeti,Budapest,Univ,3,,,,,,,
RMNY49,RMNY-C185,RMNY-C,185,egyedi,eredeti,Cluj,Acad III,2,,,,,,,
RMNY49,RMNY-C186,RMNY-C,186,egyedi,eredeti,Cluj,Acad III,3,,(B-var.),,,,,
RMNY49,RMNY-C187,RMNY-C,187,egyedi,eredeti,Cluj,Acad III,4,,,,,,,
RMNY49,RMNY-C188,RMNY-C,188,egyedi,eredeti,Cluj,Acad III,4,,,,,,,
RMNY49,RMNY-C189,RMNY-C,189,egyedi,eredeti,Cluj,Univ,2,,,,,,,
RMNY49,RMNY-C190,RMNY-C,190,egyedi,eredeti,Cluj,Univ,4,,,,,,,
RMNY49,RMNY-C191,RMNY-C,191,egyedi,eredeti,Debrecen,Ref,3,,,,,,,
RMNY49,RMNY-C192,RMNY-C,192,egyedi,eredeti,Gyöngyös,,2,,(B-var.),,,,,
RMNY49,RMNY-C193,RMNY-C,193,egyedi,eredeti,Kecskemét,Ref,2,,(B-var.),,,,,
RMNY49,RMNY-C194,RMNY-C,194,egyedi,eredeti,Keszthely,,2,,(B-var.),,,,,
RMNY49,RMNY-C195,RMNY-C,195,egyedi,eredeti,Prešov,Scient,2,,(B-var.),,,,,
RMNY49,RMNY-C196,RMNY-C,196,egyedi,eredeti,Sárospatak,Ref,2,,,,,,,
RMNY49,RMNY-C197,RMNY-C,197,egyedi,eredeti,Szarvas,Gymn,0,,(B-var.),,,,,
RMNY49,RMNY-C198,RMNY-C,198,egyedi,eredeti,Wien,Nat,1,,(B-var.),,,,,
RMNY49,RMNY-C199,RMNY-C,199,egyedi,eredeti,Zagreb,Univ,2,,,,,,,
RMNY50,RMNY-C200,RMNY-C,200,egyedi,eredeti,Braşov,Ev,1,,,,,,,
RMNY50,RMNY-C201,RMNY-C,201,egyedi,eredeti,Braşov,Ev,1,,,,,,,
RMNY50,RMNY-C202,RMNY-C,202,egyedi,eredeti,Budapest,Nat,2,*,,,,,,
RMNY50,RMNY-C203,RMNY-C,203,egyedi,eredeti,Sibiu,Civ,3,*,,,,,,
RMNY50,RMNY-C204,RMNY-C,204,egyedi,eredeti,Sibiu,Mus,2,,,,,,,
RMNY50,RMNY-C205,RMNY-C,205,egyedi,eredeti,Sighişoara,,1,,,,,,,
RMNY50,RMNY-C206,RMNY-C,206,egyedi,eredeti,Wien,Nat,1,,,,,,,
RMNY50,RMNY-C207,RMNY-C,207,egyedi,eredeti,Zwickau,,1,,,,,,,
RMNY51,RMNY-C208,RMNY-C,208,egyedi,phot.,Budapest,Nat,phot.,,,(Iaşi),,,,
RMNY51,RMNY-C209,RMNY-C,209,egyedi,eredeti,Iaşi,Civ,1,,,,,,,
RMNY52,RMNY-C210,RMNY-C,210,egyedi,phot.,Budapest,Nat,phot.,,,(Tîrgu Mureş),,,,
RMNY52,RMNY-C211,RMNY-C,211,egyedi,eredeti,Sibiu,Mus,1,,,,,,,
RMNY52,RMNY-C212,RMNY-C,212,egyedi,eredeti,Sighişoara,,1,,,,,,,
RMNY52,RMNY-C213,RMNY-C,213,egyedi,eredeti,Tîrgu Mureş,,1,,,,,,,
RMNY53,RMNY-C214,RMNY-C,214,egyedi,eredeti,Braşov,Ev,1,,,,,,,
RMNY53,RMNY-C215,RMNY-C,215,egyedi,phot.,Budapest,Nat,phot.,,,,,,,
RMNY54,RMNY-C216,RMNY-C,216,egyedi,eredeti,Braşov,Ev,1,,,,,,,
RMNY54,RMNY-C217,RMNY-C,217,egyedi,eredeti,Braşov,Ev,1,,,,,,,
RMNY54,RMNY-C218,RMNY-C,218,egyedi,eredeti,Bucureşti,Acad,1,,,,,,,
RMNY54,RMNY-C219,RMNY-C,219,egyedi,eredeti,Budapest,Acad,1,,,,,,,
RMNY54,RMNY-C220,RMNY-C,220,egyedi,eredeti,Budapest,Nat,1,,,,,,,
RMNY54,RMNY-C221,RMNY-C,221,egyedi,eredeti,Budapest,Univ,1,,,,,,,
RMNY54,RMNY-C222,RMNY-C,222,egyedi,eredeti,Dolný Kubín,MS,2,,,,,,,
RMNY54,RMNY-C223,RMNY-C,223,egyedi,eredeti,Mediaş,Ev,1,,,,,,,
RMNY54,RMNY-C224,RMNY-C,224,egyedi,eredeti,Sibiu,Arch,1,,,(Erd. ev. egyházker.),,,,
RMNY54,RMNY-C225,RMNY-C,225,egyedi,eredeti,Sibiu,Mus,1,,,"(Szeben, ev. gymn.)",,,,
RMNY54,RMNY-C226,RMNY-C,226,egyedi,eredeti,Sibiu,Mus,1,,,,,,,
RMNY54,RMNY-C227,RMNY-C,227,egyedi,eredeti,Sibiu,Mus,1,,,,,,,
RMNY54,RMNY-C228,RMNY-C,228,egyedi,eredeti,Tîrgu Mureş,,1,,,,,,,
RMNY55,RMNY-C229,RMNY-C,229,egyedi,eredeti,Budapest,Acad,1,,,(RMK II 20),,,,
RMNY55,RMNY-C230,RMNY-C,230,egyedi,eredeti,Dolný Kubín,MS,1,,,,,,,
RMNY56,RMNY-C231,RMNY-C,231,,,,,n.p.,,,,,,,
RMNY57,RMNY-C232,RMNY-C,232,,,,,n.p.,,,,,,,
RMNY58,RMNY-C233,RMNY-C,233,,,,,n.p.,,,,,,,
RMNY59,RMNY-C234,RMNY-C,234,,,,,n.p.,,,,,,,
RMNY60,RMNY-C235,RMNY-C,235,egyedi,eredeti,Braşov,Ev,1,,,,,,,
RMNY60,RMNY-C236,RMNY-C,236,egyedi,eredeti,Budapest,Acad,2,,,,,,,
RMNY60,RMNY-C237,RMNY-C,237,egyedi,phot.,Budapest,Nat,phot.,,,"(Braşov Sibiu, Tîrgu Mureş)",,,,
RMNY60,RMNY-C238,RMNY-C,238,egyedi,eredeti,Sibiu,Mus,1,,,,,,,
RMNY60,RMNY-C239,RMNY-C,239,egyedi,eredeti,Tîrgu Mureş,,1,,,,,,,
RMNY61,RMNY-C240,RMNY-C,240,,,,,n.p.,,,,,,,
RMNY62,RMNY-C241,RMNY-C,241,,,,,n.p.,,,,,,,
RMNY63,RMNY-C242,RMNY-C,242,egyedi,eredeti,Budapest,Acad,3,,,,,,,
RMNY63,RMNY-C243,RMNY-C,243,egyedi,phot.,Budapest,Nat,phot.,,,(Cluj),,,,
RMNY63,RMNY-C244,RMNY-C,244,egyedi,eredeti,Cluj,Univ,2,*,,,,,,
RMNY64,RMNY-C245,RMNY-C,245,egyedi,eredeti,Budapest,Nat,0,,,suppl. phot.,,,,
RMNY64,RMNY-C246,RMNY-C,246,egyedi,eredeti,Debrecen,Ref,0,,,,,,,
RMNY65,RMNY-C247,RMNY-C,247,,,,,n.p.,,,,,,,
RMNY66,RMNY-C248,RMNY-C,248,egyedi,phot.,Budapest,Nat,phot.,,,"(Leningrad, Užgorod)",,,,
RMNY66,RMNY-C249,RMNY-C,249,egyedi,eredeti,Leningrad,Nat,2,,,,,,,
RMNY66,RMNY-C250,RMNY-C,250,egyedi,eredeti,Užgorod,Univ,1,,,,,,,
RMNY67,RMNY-C251,RMNY-C,251,egyedi,eredeti,Braşov,Ev,1,,,,,,,
RMNY67,RMNY-C252,RMNY-C,252,egyedi,eredeti,Braşov,Ev,1,,,,,,,
RMNY67,RMNY-C253,RMNY-C,253,egyedi,eredeti,Budapest,Acad,3,*,,,,,,
RMNY67,RMNY-C254,RMNY-C,254,egyedi,phot.,Budapest,Nat,phot.,,,"suppl. (Braşov, Sibiu Mus)",,,,
RMNY67,RMNY-C255,RMNY-C,255,egyedi,eredeti,Sibiu,Arch,1,,,,,,,
RMNY67,RMNY-C256,RMNY-C,256,egyedi,eredeti,Sibiu,Ev,2,*,,,,,,
RMNY67,RMNY-C257,RMNY-C,257,egyedi,eredeti,Sibiu,Mus,1,,,,,,,
RMNY67,RMNY-C258,RMNY-C,258,egyedi,eredeti,Sibiu,Mus,1,,,,,,,
RMNY67,RMNY-C259,RMNY-C,259,egyedi,eredeti,Sibiu,Mus,1,,,,,,,
RMNY68,RMNY-C260,RMNY-C,260,egyedi,eredeti,Alba Iulia,,1,,,,,,,
