id,00Bibliográfia,01Sorszám_RMNY,01Sorszám_RMNY-S,13Lelöhely,13Lelöhely_count,15Olim,15Olim_count
ermk5340,RMNY,57,,,0,Kraków (MKsz 1911: 10),1
ermk5342,RMNY,58,,,0,,0
ermk5343,RMNY,59,,,0,,0
ermk5346,RMNY,60,,"Braşov Ev 1 – Budapest Acad 2 – Budapest Nat phot. (Braşov Sibiu, Tîrgu Mureş) – Sibiu Mus 1 – Tîrgu Mureş 1",4,,0
ermk5347,RMNY,61,,,0,,0
ermk5348,RMNY,62,,,0,"Segesvár, ev. gymn.",1
ermk5349,RMNY,63,,Budapest Acad 3 – Budapest Nat phot. (Cluj) – Cluj Univ 2*,2,,0
ermk5350,RMNY,64,,Budapest Nat O + phot. – Debrecen Ref O,2,,0
ermk5351,RMNY,65,,,0,,0
ermk5352,RMNY,66,,"Budapest Nat phot. (Leningrad, Užgorod) – Leningrad Nat 2 – Užgorod Univ 1",2,,0
ermk5353,RMNY,67,,"Braşov Ev 1 1 – Budapest Acad 3* – Budapest Nat phot. suppl. (Braşov, Sibiu Mus) – Sibiu Arch 1 – Sibiu Ev 2* – Sibiu Mus 1 1 1",9,,0
ermk5354,RMNY,68,,Alba Iulia 1 – Braşov Ev 1 – Budapest Acad 1 – Budapest Nat 1 – Sibiu Arch 2 – Sibiu Ev 1 – Sibiu Mus 1 1 3,9,,0
ermk5356,RMNY,69,,Braşov Ev 1 1 – Budapest Acad 1 – Budapest Nat 1 – Sibiu Mus 1 2* – Sighişoara 2* – Tîrgu Mureş 1 1 – Wolfenbüttel 1,10,,0
ermk5358,RMNY,70,,,0,,0
ermk5363,RMNY,71,,Braşov Ev 4 – Budapest Nat phot.,1,,0
ermk5366,RMNY,72,,Braşov Ev 1 – Budapest Nat phot. (Sibiu) – Sibiu Mus 1,2,,0
ermk5367,RMNY,73,,,0,,0
ermk5368,RMNY,74,,Budapest Acad 2 3 – Budapest Ev 1 – Budapest Nat 2 – Cluj Acad II 1 – Cluj Univ 4 – Kraków Univ 2 – Sárospatak Ref 2 (M. Nemz. Múz.) – Sibiu Mus 1,9,"Budapest, Nagy István",1
ermk5369,RMNY,75,,,0,,0
ermk5370,RMNY,76,,,0,"Kismarton, franc. zárda",1
ermk5372,RMNY,77,,Budapest Nat 1,1,,0
ermk5373,RMNY,78,,Budapest Acad 3 – Budapest Nat phot. (Cluj) – Cluj Univ 1,2,,0
ermk5374,RMNY,79,,Budapest Acad 1,1,,0
ermk5375,RMNY,80,,Budapest Nat 1,1,,0
ermk5376,RMNY,81,,,0,,0
