01Sorszám_RMNY,01Sorszám_RMNY-S,cities,olimCities
203,,"Tîrgu Mureş=1",
204,,,Harkov
205,,"Alba Iulia=1, Berlin=1, Betliar=1, Budapest=1, Cluj=3, Debrecen=1, Sárospatak=1, Stuttgart=1, Wolfenbüttel=1","Torda, Budapest"
206,,,
207,,"Alba Iulia=1, Betliar=1, Budapest=3, Debrecen=2, Cluj=2, Esztergom=1, Košice=1, London=1, Miskolc=1, Sárospatak=1, Tîrgu Mureş=1, Wolfenbüttel=1","Sepsiszentgyörgy, Szatmárnémeti"
208,,"Alba Iulia=1, Bratislava=1, Budapest=4, Cluj=3","Budapest, Budapest"
209,,"Agnita=1, Braşov=1, Bratislava=1, Bucureşti=1, Budapest=9, Cluj=2, Debrecen=1, Göttingen=1, Odorhei=1, Pannonhalma=1, Sibiu=2, Stuttgart=1, Tîrgu Mureş=1, Wien=1",Esztergom
210,,Sibiu=1,
211,,Debrecen=1,
212,,Debrecen=1,
213,,"Alba Iulia=1, Budapest=4, Cluj=2, Sárospatak=2",Kolozsvár
214,,,
215,,Győr=1,Kolozsvár
216,,Győr=3,
217,,,
218,,Cluj=1,
219,,"Budapest=3, Cluj=1, Győr=1, Olomouc=1",
220,,Győr=2,
221,,"Budapest=1, Sighişoara=1",
222,,Wolfenbüttel=1,
223,,"Braşov=1, Sibiu=1",
224,,"Bucureşti=2, Budapest=1",
225,,Sibiu=1,
226,,Debrecen=2,
227,,,
228,,"Braşov=1, Debrecen=1, Sibiu=1, Warszawa=1, Wien=1",
229,,"Budapest=2, Cluj=1, Debrecen=1",
230,,,
231,,"Cambridge=1, Cluj=3, Sibiu=1, Tîrgu Mureş=1, Warszawa=1",
232,,"Cluj=2, Stockholm=1, Tîrgu Mureş=1",
233,,"Budapest=1, Cluj=1, Stockholm=1, Tîrgu Mureş=1",Kolozsvár
234,,Cluj=1,
235,,,
236,,Budapest=1,
237,,,
238,,,
239,,Cluj=3,
240,,,
241,,"Budapest=4, London=1, Odorhei=1, Praha=1, Zagreb=1","Wien, Szatmárnémeti"
242,,"Budapest=1, Cluj=2, Sibiu=1",
243,,"Budapest=1, Cluj=1",Kolozsvár
244,,"Budapest=1, Cambridge=1, Cluj=2, Tîrgu Mureş=2, Warszawa=1, Wien=1",
245,,"Budapest=2, Cambridge=1, Cluj=1, Tîrgu Mureş=3, Warszawa=1, Wien=1","Budapest, Torda"
246,,,Kolozsvár
247,,"Budapest=2, Cambridge=1, Cluj=6, Firenze=1, Sárospatak=1, Sibiu=3, Szeged=1, Tîrgu Mureş=1, Warszawa=1, Wien=1",
248,,"Alba Iulia=1, Budapest=1",
249,,"Budapest=2, Cluj=1, Kalocsa=1, London=1, Oxford=1, Sibiu=1, Sighişoara=1, Tîrgu Mureş=1, Warszawa=1, Wien=1, Wrocław=1",
250,,"Alba Iulia=1, Budapest=3, Cambridge=1, London=1, Sárospatak=1, Sibiu=1, Tîrgu Mureş=2, Wien=1","Budapest, Kolozsvár"
251,,"Cluj=2, Tîrgu Mureş=1, Wien=1",
252,,"Alba Iulia=1, Braşov=1, Budapest=3, Cambridge=1, Cluj=2, Sibiu=1, Tîrgu Mureş=2, Warszawa=1, Wien=1",Budapest
253,,"Cluj=1, Sárospatak=1, Stockholm=1, Tîrgu Mureş=1",Kolozsvár
254,,"Budapest=2, Cambridge=2, Cluj=6, Dresden=1, Groeningen=1, London=1, Oxford=2, Paris=1, Sárospatak=1, Sibiu=2, Strängnäs=1, Tirgu=3, Utrecht=1, Wien=1, Wrocław=1, Zürich=2",Budapest
255,,Budapest=10,
256,,"Braşov=1, Budapest=3, Cluj=5, Güssing=1, Sibiu=1, Sighişoara=1, Strängnäs=1, Tîrgu Mureş=1, Wolfenbüttel=1",Kolozsvár
257,,,
258,,,
259,,"Alba Iulia=1, Budapest=9, Cluj=2, Csurgó=1, Debrecen=2, Keszthely=1, London=1, Miskolc=1, Sárospatak=1","Budapest, Rozsnyó, Budapest"
260,,Budapest=1,
261,,"Braşov=1, Cluj=1",Bucureşti
262,,"Braşov=1, Sibiu=1",
263,,,
264,,Wroclaw=1,
265,,Budapest=1,
266,,,
267,Vacat!,,
268,,,
269,,"Alba Iulia=1, Budapest=2, Cluj=4, London=1, Tîrgu Mureş=2",Torda
