id,00Bibliográfia,01Sorszám_RMNY,01Sorszám_RMNY-S,cities,olimCities
ermk5494,RMNY,164,,"Győr=1, Rein=1, Wien=1",
ermk5495,RMNY,165,,,Körmend
ermk5497,RMNY,166,,Budapest=2,
ermk5498,RMNY,167,,Bucureşti=1,
ermk5499,RMNY,168,,"Bucureşti=4, Budapest=1, Cluj=1, Sibiu=1",
ermk5500,RMNY,169,,"Budapest=1, Cluj=1, London=1",
ermk5501,RMNY,170,,Wolfenbüttel=1,
ermk5504,RMNY,171,,Cluj=1,
ermk5506,RMNY,172,,Kistarcsa=1,
ermk5507,RMNY,173,,Basel=1,
ermk5508,RMNY,174,,"Budapest=2, Galaţi=1, Leningrad=2, Moskva=1","Brassó, Bucureşti, Ungvár"
ermk5510,RMNY,175,,Sibiu=1,
ermk5514,RMNY,177,,"Budapest=1, Debrecen=1, Güssing=1",
ermk5515,RMNY,178,,Wolfenbüttel=1,
ermk5516,RMNY,179,Vacat!,,
ermk5517,RMNY,180,Vacat!,,
ermk5518,RMNY,181,,"Alba Iulia=1, Budapest=1, Cluj=2, London=1, Sárospatak=1","Budapest, Szatmárnémeti"
ermk5519,RMNY,182,,London=1,Marosvásárhely
ermk5523,RMNY,183,,"London=1, Tîrgu Mureş=1",
ermk5525,RMNY,184,,Budapest=1,
ermk5526,RMNY,185,,Budapest=2,Budapest
ermk5527,RMNY,186,,"Alba Iulia=1, Banská Štiavnica=2, Budapest=7, Cluj=7, Debrecen=1, Erlangen=1, Esztergom=1, Gyöngyös=1, Kecskemét=2, Sárospatak=1","Rimaszombat, Sárospatak, Budapest"
ermk5528,RMNY,187,,"Cluj=2, Sibiu=2",Debrecen
ermk5530,RMNY,188,,Bucureşti=4,
ermk5531,RMNY,189,,"Braşov=3, Budapest=1, Cluj=2, Sibiu=6, Sighişoara=1","Budapest, Gyulafehérvár, Szatmárnémeti"
ermk5532,RMNY,190,,Budapest=1,
ermk5533,RMNY,191,,,
ermk5536,RMNY,192,,Budapest=1,
ermk5538,RMNY,193,,,
ermk5540,RMNY,194,,"Budapest=4, Cluj=2, Debrecen=2, Esztergom=1, Košice=1, Sárospatak=1, Wolfenbüttel=2",
ermk5541,RMNY,195,,,
ermk5542,RMNY,196,,"Aiud=1, Budapest=6, Cluj=2, Debrecen=1, Esztergom=1, Kecskemét=1, Košice=1, Sárospatak=2",Rozsnyó
ermk5543,RMNY,197,,"Budapest=1, Cluj=1, Sibiu=1, Strängnäs=1, Zwickau=1",
ermk5544,RMNY,198,,Sibiu=2,
ermk5547,RMNY,199,,"Alba Iulia=1, Budapest=1, Cluj=1",
ermk5548,RMNY,200,,Debrecen=1,
ermk5549,RMNY,201,,"Budapest=3, Tîrgu Mureş=1",
ermk5550,RMNY,202,,"Bratislava=1, Budapest=2, Cluj=1, Sibiu=1, Sighişoara=1, Tîrgu Mureş=1",Németújvár
ermk5551,RMNY,203,,"Tîrgu Mureş=1",
ermk5552,RMNY,204,,,Harkov
ermk5554,RMNY,205,,"Alba Iulia=1, Berlin=1, Betliar=1, Budapest=1, Cluj=3, Debrecen=1, Sárospatak=1, Stuttgart=1, Wolfenbüttel=1","Torda, Budapest"
ermk5555,RMNY,206,,,
ermk5556,RMNY,207,,"Alba Iulia=1, Betliar=1, Budapest=3, Debrecen=2, Cluj=2, Esztergom=1, Košice=1, London=1, Miskolc=1, Sárospatak=1, Tîrgu Mureş=1, Wolfenbüttel=1","Sepsiszentgyörgy, Szatmárnémeti"
ermk5557,RMNY,208,,"Alba Iulia=1, Bratislava=1, Budapest=4, Cluj=3","Budapest, Budapest"
ermk5558,RMNY,209,,"Agnita=1, Braşov=1, Bratislava=1, Bucureşti=1, Budapest=9, Cluj=2, Debrecen=1, Göttingen=1, Odorhei=1, Pannonhalma=1, Sibiu=2, Stuttgart=1, Tîrgu Mureş=1, Wien=1",Esztergom
ermk5559,RMNY,210,,Sibiu=1,
ermk5560,RMNY,211,,Debrecen=1,
ermk5561,RMNY,212,,Debrecen=1,
ermk5562,RMNY,213,,"Alba Iulia=1, Budapest=4, Cluj=2, Sárospatak=2",Kolozsvár
ermk5566,RMNY,214,,,
ermk5568,RMNY,215,,Győr=1,Kolozsvár
ermk5569,RMNY,216,,Győr=3,
ermk5572,RMNY,217,,,
ermk5573,RMNY,218,,Cluj=1,
ermk5574,RMNY,219,,"Budapest=3, Cluj=1, Győr=1, Olomouc=1",
ermk5576,RMNY,220,,Győr=2,
ermk5577,RMNY,221,,"Budapest=1, Sighişoara=1",
,RMNY,222,,Wolfenbüttel=1,
ermk5579,RMNY,223,,"Braşov=1, Sibiu=1",
ermk5580,RMNY,224,,"Bucureşti=2, Budapest=1",
ermk5581,RMNY,225,,Sibiu=1,
