RMNYStat-CopyID,RMNYStat-Copy-Jel,RMNYStat-Copy-Sorszám,RMNYStat-PéldányLeírás-Típus,RMNYStat-Példány-Típus,RMNYStat-ID,RMNYStat-C-Lelőhely,RMNYStat-C-Gyűjtemény,RMNYStat-C-Teljesség,RMNYStat-C-Címlap,RMNYStat-C-Variáns,RMNYStat-C-Prov,RMNY-C-Megjegyzés,RMNYStat-C-Megjegyzés,RMNY-C-Megjegyzés2,
RMNY-C-3394,,3394,egyedi,eredeti,RMNY773,Tisovec,,2,,,,,,,
RMNY-C-3395,,3395,egyedi,eredeti,RMNY774,Budapest,Nat,1,,,,,,,
RMNY-C-3396,,3396,egyedi,eredeti,RMNY774,Debrecen,Ref,1,,,,,,,
RMNY-C-3397,,3397,egyedi,phot.,RMNY775,Budapest,Nat,phot.,,,,,,,
RMNY-C-3398,,3398,egyedi,eredeti,RMNY775,Debrecen,Ref,1,,,,,,,
RMNY-C-3399,,3399,,,RMNY776,,,n.p.,,,,,,,
RMNY-C-3400,,3400,egyedi,eredeti,RMNY777,Budapest,Nat,1,,,,,,,
RMNY-C-3401,,3401,egyedi,eredeti,RMNY778,Budapest,Nat,1,,,,,,,
RMNY-C-3402,,3402,egyedi,eredeti,RMNY778,Debrecen,Ref,1,,,,,,,
RMNY-C-3403,,3403,egyedi,phot.,RMNY779,Budapest,Acad,phot.,,,"(Cluj, Univ)",,,,
RMNY-C-3404,,3404,egyedi,phot.,RMNY779,Budapest,Nat,phot.,,,"(Cluj, Univ)",,,,
RMNY-C-3405,,3405,egyedi,eredeti,RMNY779,Cluj,Acad III,4,*,,,,,,
RMNY-C-3406,,3406,egyedi,eredeti,RMNY779,Cluj,Univ,3,*,,,,,,
RMNY-C-3407,,3407,egyedi,eredeti,RMNY780,Bern,Civ,1,,,,,,,
RMNY-C-3408,,3408,egyedi,eredeti,RMNY780,Budapest,Nat,1,,,,,,,
RMNY-C-3409,,3409,egyedi,eredeti,RMNY780,Strängnäs,,1,,,,,,,
RMNY-C-3410,,3410,egyedi,eredeti,RMNY781,Alba Iulia,,2,*,,,,,,
RMNY-C-3411,,3411,egyedi,eredeti,RMNY781,Bratislava,Civ,2,,,"(Szentantal, franc. zárda)",,,,
RMNY-C-3412,,3412,egyedi,eredeti,RMNY781,Bratislava,MS,1,,,,,,,
RMNY-C-3413,,3413,egyedi,eredeti,RMNY781,Bratislava,Univ,0,,,,,,,
RMNY-C-3414,,3414,egyedi,eredeti,RMNY781,Budapest,Acad,1,,,,,,,
RMNY-C-3415,,3415,egyedi,eredeti,RMNY781,Budapest,Acad,1,,,,,,,
RMNY-C-3416,,3416,egyedi,eredeti,RMNY781,Budapest,Acad,1,,,,,,,
RMNY-C-3417,,3417,egyedi,eredeti,RMNY781,Budapest,Acad,1,,,,,,,
RMNY-C-3418,,3418,egyedi,eredeti,RMNY781,Budapest,Acad Lingu,2,,,,,,,
RMNY-C-3419,,3419,egyedi,eredeti,RMNY781,Budapest,Nat,1,,,,,,,
RMNY-C-3420,,3420,egyedi,eredeti,RMNY781,Budapest,Nat,1,,,,,,,
RMNY-C-3421,,3421,egyedi,eredeti,RMNY781,Budapest,Nat,3,*,(B-var.),,,,,
RMNY-C-3422,,3422,egyedi,eredeti,RMNY781,Budapest,Univ,2,*,,,,,,
RMNY-C-3423,,3423,egyedi,eredeti,RMNY781,Budapest,Zsámár József,1,,,,,,,
RMNY-C-3424,,3424,egyedi,eredeti,RMNY781,Cluj,Acad I,2,,,,,,,
RMNY-C-3425,,3425,egyedi,eredeti,RMNY781,Cluj,Acad I,2,,,,,,,
RMNY-C-3426,,3426,egyedi,eredeti,RMNY781,Cluj,Univ,1,,,,,,,
RMNY-C-3427,,3427,egyedi,eredeti,RMNY781,Debrecen,Univ,1,,,,,,,
RMNY-C-3428,,3428,egyedi,eredeti,RMNY781,Esztergom,Dioec,1,,,(RMK II 263),,,,
RMNY-C-3429,,3429,egyedi,eredeti,RMNY781,Gyöngyös,,1,,,,,,,
RMNY-C-3430,,3430,egyedi,eredeti,RMNY781,Gyöngyös,,1,,,,,,,
RMNY-C-3431,,3431,egyedi,eredeti,RMNY781,Kalocsa,Dioec,2,,,,,,,
RMNY-C-3432,,3432,egyedi,eredeti,RMNY781,Pannonhalma,,1,,,,,,,
RMNY-C-3433,,3433,egyedi,eredeti,RMNY781,Pécs,Univ,2,*,,,,,,
RMNY-C-3434,,3434,egyedi,eredeti,RMNY781,Sárospatak,Ref,1,,,,,,,
RMNY-C-3435,,3435,egyedi,eredeti,RMNY781,Veszprém,Dioec,1,,,,,,,
RMNY-C-3436,,3436,egyedi,eredeti,RMNY781,Zagreb,Univ,1,,,,,,,
RMNY-C-3437,,3437,,,RMNY782,,,n.p.,,,,,,,
RMNY-C-3438,,3438,egyedi,eredeti,RMNY783,Budapest,Nat,4,,,,,,,
RMNY-C-3439,,3439,egyedi,eredeti,RMNY784,Budapest,Nat,1,,,,,,,
RMNY-C-3440,,3440,egyedi,eredeti,RMNY785,Budapest,Nat,1,,,,,,,
RMNY-C-3441,,3441,egyedi,eredeti,RMNY785,Budapest,Nat,1,,,,,,,
RMNY-C-3442,,3442,egyedi,eredeti,RMNY786,Budapest,Acad,1,,,,,,,
RMNY-C-3443,,3443,egyedi,eredeti,RMNY786,Budapest,Acad,2,*,,,,,,
RMNY-C-3444,,3444,egyedi,eredeti,RMNY786,Budapest,Nat,3,*,,,,,,
RMNY-C-3445,,3445,egyedi,eredeti,RMNY786,Sárospatak,Ref,4,*,,,,,,
RMNY-C-3446,,3446,egyedi,eredeti,RMNY786,Sibiu,Arch,4,,,,,,,
RMNY-C-3447,,3447,egyedi,eredeti,RMNY786,Tîrgu Mureş,,2,,,,,,,
RMNY-C-3448,,3448,egyedi,eredeti,RMNY787,Budapest,Acad,1,,,,,,,
RMNY-C-3449,,3449,egyedi,eredeti,RMNY787,Debrecen,Ref,3,*,,,,,,
RMNY-C-3450,,3450,egyedi,phot.,RMNY788,Budapest,Acad,phot.,,,,,,,
RMNY-C-3451,,3451,egyedi,eredeti,RMNY788,Cluj,Acad II,1,,,,,,,
RMNY-C-3452,,3452,egyedi,eredeti,RMNY789,Budapest,Acad,1,,,,,,,
