RMNYStat-CopyID,RMNYStat-Copy-Jel,RMNYStat-Copy-Sorszám,RMNYStat-PéldányLeírás-Típus,RMNYStat-Példány-Típus,RMNYStat-ID,RMNYStat-C-Lelőhely,RMNYStat-C-Gyűjtemény,RMNYStat-C-Teljesség,RMNYStat-C-Címlap,RMNYStat-C-Variáns,RMNYStat-C-Prov,RMNY-C-Megjegyzés,RMNYStat-C-Megjegyzés,RMNY-C-Megjegyzés2,
,,,egyedi,eredeti,RMNY766,Budapest,Nat,1,,,,,,,
,,,egyedi,eredeti,RMNY766,Budapest,Nat,3,,,,,,,
,,,egyedi,eredeti,RMNY766,Budapest,Nat,4,,,,,,,
,,,egyedi,eredeti,RMNY766,Budapest,Univ,3,,,,,,,
,,,egyedi,eredeti,RMNY766,Cluj,Univ,2,,,,,,,
,,,egyedi,eredeti,RMNY766,Debrecen,Ref,3,,,"(Budapest, Nemz. Múz.?)",,,,
,,,egyedi,eredeti,RMNY766,Debrecen,Univ,3,,,,,,,
,,,egyedi,eredeti,RMNY767,Brno,Univ,1,,,,,,,
,,,egyedi,eredeti,RMNY767,Budapest,Acad,1,,,,,,,
,,,egyedi,eredeti,RMNY767,Budapest,Acad,1,,,,,,,
,,,egyedi,eredeti,RMNY767,Budapest,Acad,1,,,,,,,
,,,egyedi,eredeti,RMNY767,Budapest,Acad,1,,,,,,,
,,,egyedi,eredeti,RMNY767,Budapest,Ev,1,,,,,,,
,,,egyedi,eredeti,RMNY767,Budapest,Nat,1,,,,,,,
,,,egyedi,eredeti,RMNY767,Budapest,Nat,1,,,,,,,
,,,egyedi,eredeti,RMNY767,Budapest,Nat,1,,,,,,,
,,,egyedi,eredeti,RMNY767,Budapest,Nat,1,,,,,,,
,,,egyedi,eredeti,RMNY767,Budapest,Univ,1,,,,,,,
,,,egyedi,eredeti,RMNY767,Cluj,Acad II,1,,,,,,,
,,,egyedi,eredeti,RMNY767,Cluj,Univ,1,,,,,,,
,,,egyedi,eredeti,RMNY767,Cluj,Univ,3,*,,,,,,
,,,egyedi,eredeti,RMNY767,Debrecen,Ref,1,,,,,,,
,,,egyedi,eredeti,RMNY767,Győr,Semin,1,,,,,,,
,,,egyedi,eredeti,RMNY767,Pannonhalma,,1,,,,,,,
,,,,,RMNY767A,Wien,Nat,n.p.,,,,,,,
,,,,,RMNY768,,,n.p.,,,,,,,
,,,,,RMNY769,,,n.p.,,,,,,,
,,,egyedi,eredeti,RMNY770,Budapest,Acad,1,,,,,,,
,,,egyedi,eredeti,RMNY770,Budapest,Nat,1,,,,,,,
,,,egyedi,eredeti,RMNY770,Budapest,Univ,1,,,,,,,
,,,egyedi,eredeti,RMNY770,Cluj,Univ,1,,,,,,,
,,,egyedi,eredeti,RMNY770,Kežmarok,Ev,1,,,,,,,
,,,egyedi,eredeti,RMNY771,Alba Iulia,,1,,,,,,,
,,,egyedi,eredeti,RMNY771,Budapest,Nat,1,,,,,,,
,,,egyedi,eredeti,RMNY772,Bratislava,MS,1,,,,,,,
,,,egyedi,eredeti,RMNY772,Budapest,Mus,1,,,,,(ca. 30 expl.),,
,,,egyedi,eredeti,RMNY772,Budapest,Mus,1,,,,,(ca. 30 expl.),,
,,,egyedi,eredeti,RMNY772,Budapest,Mus,1,,,,,(ca. 30 expl.),,
,,,egyedi,eredeti,RMNY772,Budapest,Mus,1,,,,,(ca. 30 expl.),,
,,,egyedi,eredeti,RMNY772,Budapest,Mus,1,,,,,(ca. 30 expl.),,
,,,egyedi,eredeti,RMNY772,Budapest,Mus,1,,,,,(ca. 30 expl.),,
