RMNY,Hely,Év,Proveniencia,Őrzőhely,Időpont,Forrás,Kötet,Szám,,,,,,,,,,,,
307,Kolozsvár,1571,Zsámboky János,Wien,1587,Adattár,12/2,359,,,,,,,,,,,,
316,Kolozsvár,1571,Batthyány Ádám,Németújvár,1651,KKK,4,192,,,,,,,,,,,,
317,Kolozsvár,1572,Batthyány Ádám,Németújvár,1644,KKK,4,182,,,,,,,,,,,,
317,Kolozsvár,1572,Batthyány Ádám,Németújvár,1653,KKK,4,223,,,,,,,,,,,,
317,Kolozsvár,1572,Dudith András,Wrocław,1589,Adattár,12/2,150,,,,,,,,,,,,
321,Alsólendva,1573,Zsámboky János,Wien,1587,Adattár,12/2,343,,,,,,,,,,,,
324,Kolozsvár,1572,Rákóczi-család,Sárospatak,1660,KKK,1,164,,,,,,,,,,,,
333,Sempte,1573,Rákóczi-család,Sárospatak,1660,KKK,1,153,,,,,,,,,,,,
333,Sempte,1573,Esterházy József,Cseklész,1749,Adattár,13/5,116,,,,,,,,,,,,
334,Alsólendva,1574,Rákóczi-család,Sárospatak,1660,KKK,1,154,,,,,,,,,,,,
334,Alsólindva,1574,Gombkötő János,Kassa,1654,Adattár,15,43,,,,,,,,,,,,
334,Alsólindva,1574,Kis Király Pál,Kassa,1655,Adattár,15,47,,,,,,,,,,,,
334,Alsólindva,1574,Tarczy Pál,Kassa,1606,Adattár,15,10,,,,,,,,,,,,
344,Debrecen,1574,Batthyány Ádám,Németújvár,1651,KKK,4,193,,,,,,,,,,,,
347,Gyulafehérvár,1574,Rákóczi-család,Sárospatak,1660,KKK,1,160,,,,,,,,,,,,
351,Kolozsvár,1574,Szepesi György,Marosvásárhely,1707,Adattár,16/2,98,,,,,,,,,,,,
355,Sempte,1574,Rákóczi-család,Sárospatak,1660,KKK,1,153,,,,,,,,,,,,
355,Sempte,1574,Radvánszky László,Sajókaza,1750,Adattár,13/5,182,,,,,,,,,,,,
360,Kolozsvár,1575,Ráday-család,Pécel,1730,KKK,7,183,,,,,,,,,,,,
360,Kolozsvár,1575,Bethlen-kollégium,Nagyenyed,1762,KKK,10,13,,,,,,,,,,,,
360,Kolozsvár,1575,Aranyasi János,Kassa,1651,Adattár,15,40,,,,,,,,,,,,
360,Kolozsvár,1575,Békéssy János,Kassa,1612,Adattár,15,11,,,,,,,,,,,,
360,Kolozsvár,1575,Dévényi István,Kassa,1644,Adattár,15,30,,,,,,,,,,,,
360,Kolozsvár,1575,Kállay Erzsébet,Kassa,1625,Adattár,15,21,,,,,,,,,,,,
360,Kolozsvár,1575,Serédi Benedek,Kolozsvár,1678,Adattár,16/2,10,,,,,,,,,,,,
362,Sempte,1575,Rákóczi-család,Sárospatak,1660,KKK,1,153,,,,,,,,,,,,
362,Sempte,1575,Várallyai István,Kassa,1646,Adattár,15,36,,,,,,,,,,,,
374,Wien,1577,Rákóczi-család,Sárospatak,1660,KKK,1,154,,,,,,,,,,,,
374,Wien,1577,Bethlen-kollégium,Nagyenyed,1762,KKK,10,66,,,,,,,,,,,,
378,Debrecen,1577,Békéssy János,Kassa,1612,Adattár,15,11,,,,,,,,,,,,
388,Kolozsvár,1577,Batthyány Ádám,Németújvár,1651,KKK,4,193,,,,,,,,,,,,
396,Sempte,1577,Rákóczi-család,Sárospatak,1660,KKK,1,163,,,,,,,,,,,,
407,Besztercebánya,1578,Gabriel Valovicz,Tarnó,1730,Adattár,13/7,306,,,,,,,,,,,,
413,Kolozsvár,1578,Bethlen-kollégium,Nagyenyed,1762,KKK,10,18,,,,,,,,,,,,
413,Kolozsvár,1578,Apáti Madár Miklós,Debrecen,1680,Adattár,14,323,,,,,,,,,,,,
415,Kolozsvár,1578,Batthyány Ádám,Németújvár,1651,KKK,4,193,,,,,,,,,,,,
416,Kolozsvár,1578,Batthyány Ádám,Németújvár,1651,KKK,4,192,,,,,,,,,,,,
422,Sempte,1578,Rákóczi-család,Sárospatak,1660,KKK,1,153,,,,,,,,,,,,
426,Bártfa,1579,Bethlen-kollégium,Nagyenyed,1762,KKK,10,81,,,,,,,,,,,,
